custom_id,model,item,framing,sample,order,status,result_type,stop_reason,letter,choice,model_returned,input_tokens,output_tokens,cost_usd,text
r1-m0-Q02-l-s0,claude-opus-4-6,Q02,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,59,4,0.000198,A
r1-m0-Q02-l-s1,claude-opus-4-6,Q02,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,59,4,0.000198,B
r1-m0-Q02-l-s2,claude-opus-4-6,Q02,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,59,4,0.000198,A
r1-m0-Q02-l-s3,claude-opus-4-6,Q02,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,59,4,0.000198,B
r1-m0-Q02-u-s0,claude-opus-4-6,Q02,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,44,4,0.00016,A
r1-m0-Q02-u-s1,claude-opus-4-6,Q02,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,44,4,0.00016,B
r1-m0-Q02-u-s2,claude-opus-4-6,Q02,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,44,4,0.00016,A
r1-m0-Q02-u-s3,claude-opus-4-6,Q02,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,44,4,0.00016,B
r1-m0-Q04-l-s0,claude-opus-4-6,Q04,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,58,4,0.000195,A
r1-m0-Q04-l-s1,claude-opus-4-6,Q04,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,58,4,0.000195,B
r1-m0-Q04-l-s2,claude-opus-4-6,Q04,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,58,4,0.000195,A
r1-m0-Q04-l-s3,claude-opus-4-6,Q04,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,58,4,0.000195,B
r1-m0-Q04-u-s0,claude-opus-4-6,Q04,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,43,4,0.000158,A
r1-m0-Q04-u-s1,claude-opus-4-6,Q04,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,43,4,0.000158,B
r1-m0-Q04-u-s2,claude-opus-4-6,Q04,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,43,4,0.000158,A
r1-m0-Q04-u-s3,claude-opus-4-6,Q04,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,43,4,0.000158,B
r1-m0-Q05-l-s0,claude-opus-4-6,Q05,labeled,0,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,77,4,0.000243,B
r1-m0-Q05-l-s1,claude-opus-4-6,Q05,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,77,4,0.000243,A
r1-m0-Q05-l-s2,claude-opus-4-6,Q05,labeled,2,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,77,4,0.000243,B
r1-m0-Q05-l-s3,claude-opus-4-6,Q05,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,77,4,0.000243,A
r1-m0-Q05-u-s0,claude-opus-4-6,Q05,unlabeled,0,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,62,4,0.000205,B
